23,16,115,46925
23,17,89,49625
23,18,61,51850
24,1,135,6750
24,2,76,10475
24,3,80,14400
24,4,66,15400
24,5,70,17350
24,6,89,19775
24,7,44,21900
24,8,61,24900
24,9,95,29075
24,10,100,32525
24,11,33,34175
25,1,52,2600
25,2,100,7375
25,3,26,8875
25,4,70,12250
25,5,33,13900
25,6,43,16025
25,7,64,19125
25,8,47,21350
25,9,96,24425
25,10,49,26825
25,11,63,29175
25,12,99,33575
25,13,86,36750
25,14,34,38425
26,1,80,4000
26,2,55,6575
26,3,41,8275
26,4,74,11775
26,5,49,14150
26,6,127,19575
26,7,47,21900
26,8,70,25250
26,9,57,27950
26,10,134,31975
26,11,59,34850
26,12,130,40550
26,13,80,44550
26,14,68,47550
26,15,78,50350
26,16,129,54200
26,17,142,60175
26,18,139,64125
26,19,107,67150
26,20,78,70200
27,1,44,2200
27,2,20,3400
27,3,32,4950
27,4,116,9775
27,5,148,12650
27,6,103,17100
27,7,64,20250
27,8,59,22500
27,9,90,26950
27,10,65,29400
27,11,141,36025
27,12,63,38600
27,13,83,42500
27,14,79,46450
27,15,82,50275
27,16,98,54625
27,17,62,56675
28,1,68,3400
28,2,60,6325
28,3,98,9950
28,4,94,13950
28,5,105,18725
28,6,90,22700
28,7,44,24250
28,8,70,27600
28,9,72,31075
28,10,87,34950
28,11,80,38025
28,12,59,40900
28,13,97,45575
28,14,137,49425
28,15,73,51800
28,16,94,56000
28,17,106,59550
28,18,146,63075
28,19,137,68750
28,20,116,73700
28,21,144,79975
28,22,124,84900
28,23,119,90650
28,24,107,95800
28,25,129,100475
28,26,103,105350
29,1,62,3100
29,2,48,3650
29,3,127,9325
29,4,26,10575
29,5,50,13025
29,6,89,16925
29,7,82,20400
29,8,58,22725
29,9,48,25100
29,10,98,28675
29,11,100,32950
29,12,69,36350
29,13,81,39475
29,14,62,42100
29,15,95,46700
29,16,81,49950
29,17,80,53500
29,18,87,56550
29,19,77,59450
30,1,25,1250
30,2,92,5675
30,3,60,8575
30,4,36,10175
30,5,52,12775
30,6,36,14550
30,7,48,16900
30,8,27,18125
31,1,13,850
31,2,35,2425
31,3,29,3875
31,4,81,7525
31,5,37,9275
31,6,113,14175
31,7,49,16550
31,8,44,18625
31,9,77,22325
31,10,75,25925
31,11,59,28300
31,12,51,30025
32,1,63,3150
32,2,17,4200
32,3,67,7275
32,4,91,9150
32,5,86,11250
32,6,91,13300
32,7,90,17700
32,8,56,20250
32,9,52,22825
32,10,62,25900
32,11,69,29275
32,12,89,32225
32,13,67,35200
32,14,108,38850
32,15,59,41175
33,1,120,6000
33,2,72,8925
33,3,45,11175
33,4,45,12525
33,5,118,16900
33,6,90,21375
33,7,50,23875
33,8,100,28525
33,9,68,31600
33,10,133,37750
33,11,65,40850
33,12,102,44200
33,13,80,48025
33,14,77,51825
33,15,75,55550
33,16,78,58300
33,17,122,63875
33,18,85,67925
33,19,127,73425
33,20,102,76875
33,21,96,81250
33,22,140,85300
33,23,105,90075
33,24,98,94500
34,1,30,1500
34,2,59,4425
34,3,94,8425
34,4,46,9850
34,5,166,12500
34,6,33,14150
34,7,130,17325
34,8,40,19275
34,9,44,21475
34,10,100,24550
34,11,74,28200
34,12,109,31900
34,13,73,35425
34,14,2,35525
35,1,126,6300
35,2,74,9850
35,3,106,14550
35,4,117,16775
35,5,72,19750
35,6,93,22300
35,7,76,26100
35,8,92,30700
35,9,52,33175
35,10,69,36575
35,11,63,39250
35,12,74,42050
35,13,118,47675
35,14,91,51725
35,15,76,55100
35,16,97,58350
35,17,77,61975
35,18,126,67325
35,19,115,71175
35,20,139,77275
35,21,106,80900
35,22,119,86175
35,23,103,91025
35,24,121,94600
35,25,121,98325
35,26,133,101825
35,27,134,106875
35,28,85,109700
36,1,68,3400
36,2,39,5275
36,3,29,6700
36,4,51,9200
36,5,81,12825
36,6,36,14625
36,7,47,16950
36,8,86,19900
36,9,70,23100
36,10,71,26350
36,11,55,28600
36,12,58,31500
36,13,66,34675
36,14,46,36825
37,1,29,1450
37,2,72,4925
37,3,108,6425
37,4,44,7650
37,5,70,9500
37,6,49,11875
37,7,54,14575
37,8,63,16900
37,9,54,19250
37,10,98,23475
37,11,66,26650
37,12,105,30000
37,13,90,33250
37,14,86,36425
37,15,76,39025
37,16,114,44000
37,17,133,47900
37,18,96,51475
37,19,107,55800
37,20,96,60500
37,21,113,64275
37,22,103,68625
37,23,117,74200
37,24,126,79775
37,25,125,83250
37,26,73,86075
38,1,68,3400
38,2,55,6050
38,3,103,7875
38,4,30,9350
38,5,132,14700
38,6,115,17825
38,7,53,19925
38,8,47,22200
38,9,55,24400
38,10,50,26800
38,11,151,30850
38,12,62,33600
38,13,85,37725
38,14,73,41025
38,15,74,43750
38,16,54,46375
39,1,152,7600
39,2,40,9575
39,3,48,11950
39,4,80,14100
39,5,103,18650
39,6,36,20375
39,7,52,22750
39,8,70,26100
39,9,61,28725
39,10,60,31150
39,11,53,33775
39,12,59,36700
39,13,76,40400
39,14,69,43800
39,15,93,48100
39,16,90,51400
39,17,88,55750
39,18,99,59300
39,19,90,62650
39,20,93,65925
39,21,104,70325
39,22,92,74450
40,1,32,1600
40,2,42,3700
40,3,32,5275
40,4,76,7050
40,5,32,8650
40,6,51,10900
40,7,123,16225
40,8,40,18100
40,9,91,22525
40,10,51,24900
40,11,54,27525
40,12,83,30775
40,13,60,33775
40,14,106,38775
40,15,96,42275
40,16,76,46025
40,17,76,49650
40,18,60,52525
41,1,16,1000
41,2,119,5950
41,3,43,8025
41,4,41,10000
41,5,33,11100
41,6,75,14850
41,7,57,17625
41,8,46,19900
41,9,59,22375
41,10,124,26225
41,11,71,29000
41,12,89,32075
41,13,89,35525
41,14,95,38675
41,15,117,42675
41,16,77,45950
41,17,90,50325
41,18,141,56325
41,19,110,59725
41,20,96,62950
